ano,uf,setor,porte_do_cliente,num_empregados
2015,PE,INDUSTRIA,MICRO,45091
2015,AL,INDUSTRIA,MICRO,8219
2015,SE,INDUSTRIA,MICRO,9851
2015,BA,INDUSTRIA,MICRO,50114
2015,MG,INDUSTRIA,MICRO,184340
2015,ES,INDUSTRIA,MICRO,35967
2015,RJ,INDUSTRIA,MICRO,83031
2015,SP,INDUSTRIA,MICRO,439741
2015,PR,INDUSTRIA,MICRO,139256
2015,SC,INDUSTRIA,MICRO,146626
2015,RS,INDUSTRIA,MICRO,153295
2015,MS,INDUSTRIA,MICRO,15769
2015,MT,INDUSTRIA,MICRO,28484
2015,GO,INDUSTRIA,MICRO,57286
2015,DF,INDUSTRIA,MICRO,11742
2014,RO,INDUSTRIA,MICRO,10996
2014,AC,INDUSTRIA,MICRO,2583
2014,AM,INDUSTRIA,MICRO,8753
2014,RR,INDUSTRIA,MICRO,1382
2014,PA,INDUSTRIA,MICRO,20012
2014,AP,INDUSTRIA,MICRO,1808
2014,TO,INDUSTRIA,MICRO,6163
2014,MA,INDUSTRIA,MICRO,10635
2014,PI,INDUSTRIA,MICRO,11444
2014,CE,INDUSTRIA,MICRO,47582
2014,RN,INDUSTRIA,MICRO,15609
2014,PB,INDUSTRIA,MICRO,15984
2014,PE,INDUSTRIA,MICRO,46901
2014,AL,INDUSTRIA,MICRO,8349
2014,SE,INDUSTRIA,MICRO,9633
2014,BA,INDUSTRIA,MICRO,49417
2014,MG,INDUSTRIA,MICRO,188348
2014,ES,INDUSTRIA,MICRO,36996
2014,RJ,INDUSTRIA,MICRO,84971
2014,SP,INDUSTRIA,MICRO,449561
2014,PR,INDUSTRIA,MICRO,141636
2014,SC,INDUSTRIA,MICRO,148610
2014,RS,INDUSTRIA,MICRO,158072
2014,MS,INDUSTRIA,MICRO,15400
2014,MT,INDUSTRIA,MICRO,28608
2014,GO,INDUSTRIA,MICRO,58921
2014,DF,INDUSTRIA,MICRO,11869
2013,RO,INDUSTRIA,MICRO,10977
2013,AC,INDUSTRIA,MICRO,2423
2013,AM,INDUSTRIA,MICRO,8476
2013,RR,INDUSTRIA,MICRO,1238
2013,PA,INDUSTRIA,MICRO,19244
2013,AP,INDUSTRIA,MICRO,1610
2013,TO,INDUSTRIA,MICRO,5732
2013,MA,INDUSTRIA,MICRO,10286
2013,PI,INDUSTRIA,MICRO,10676
2013,CE,INDUSTRIA,MICRO,45174
2013,RN,INDUSTRIA,MICRO,14887
2013,PB,INDUSTRIA,MICRO,15317
2013,PE,INDUSTRIA,MICRO,45177
2013,AL,INDUSTRIA,MICRO,7924
2013,SE,INDUSTRIA,MICRO,9361
2013,BA,INDUSTRIA,MICRO,47885
2013,MG,INDUSTRIA,MICRO,185177
2013,ES,INDUSTRIA,MICRO,36733
2013,RJ,INDUSTRIA,MICRO,84096
2013,SP,INDUSTRIA,MICRO,447845
2013,PR,INDUSTRIA,MICRO,139488
2013,SC,INDUSTRIA,MICRO,147422
2013,RS,INDUSTRIA,MICRO,157135
2013,MS,INDUSTRIA,MICRO,14862
2013,MT,INDUSTRIA,MICRO,29105
2013,GO,INDUSTRIA,MICRO,57680
2013,DF,INDUSTRIA,MICRO,12010
2012,RO,INDUSTRIA,MICRO,10824
2012,AC,INDUSTRIA,MICRO,2371
2012,AM,INDUSTRIA,MICRO,8932
2012,RR,INDUSTRIA,MICRO,1231
2012,PA,INDUSTRIA,MICRO,19131
2012,AP,INDUSTRIA,MICRO,1668
2012,TO,INDUSTRIA,MICRO,5648
2012,MA,INDUSTRIA,MICRO,9769
2012,PI,INDUSTRIA,MICRO,10579
2012,CE,INDUSTRIA,MICRO,44915
2012,RN,INDUSTRIA,MICRO,14680
2012,PB,INDUSTRIA,MICRO,14856
2012,PE,INDUSTRIA,MICRO,43967
2012,AL,INDUSTRIA,MICRO,7357
2012,SE,INDUSTRIA,MICRO,9199
2012,BA,INDUSTRIA,MICRO,46054
