uf,ano,setor,pib
BA,2007,AGROPECUARIA,12450216528.0
CE,2007,AGROPECUARIA,3708203660.0
DF,2007,AGROPECUARIA,331636936.0
ES,2007,AGROPECUARIA,2258116620.0
GO,2007,AGROPECUARIA,7301351412.0
MA,2007,AGROPECUARIA,3852661742.0
MG,2007,AGROPECUARIA,15730531720.0
MS,2007,AGROPECUARIA,5427464100.0
MT,2007,AGROPECUARIA,8225151766.0
PA,2007,AGROPECUARIA,6629751546.0
PB,2007,AGROPECUARIA,1374870327.0
PE,2007,AGROPECUARIA,3958450225.0
PI,2007,AGROPECUARIA,1003862833.0
PR,2007,AGROPECUARIA,16211118696.0
RJ,2007,AGROPECUARIA,1445514537.0
RN,2007,AGROPECUARIA,1125628443.0
RO,2007,AGROPECUARIA,1812175686.0
RR,2007,AGROPECUARIA,157212703.0
RS,2007,AGROPECUARIA,16498368251.0
SC,2007,AGROPECUARIA,8295826896.0
SE,2007,AGROPECUARIA,1306132555.0
SP,2007,AGROPECUARIA,26834551905.0
TO,2007,AGROPECUARIA,997635873.0
AC,2008,AGROPECUARIA,582510329.0
AL,2008,AGROPECUARIA,3537290678.0
AM,2008,AGROPECUARIA,1459565248.0
AP,2008,AGROPECUARIA,175328675.0
BA,2008,AGROPECUARIA,11924845180.0
CE,2008,AGROPECUARIA,4686409672.0
DF,2008,AGROPECUARIA,367743016.0
ES,2008,AGROPECUARIA,2405835948.0
GO,2008,AGROPECUARIA,8859936333.0
MA,2008,AGROPECUARIA,5823161587.0
MG,2008,AGROPECUARIA,16741022950.0
MS,2008,AGROPECUARIA,6918958241.0
MT,2008,AGROPECUARIA,11440916839.0
PA,2008,AGROPECUARIA,6255288814.0
PB,2008,AGROPECUARIA,1513087006.0
PE,2008,AGROPECUARIA,4249607064.0
PI,2008,AGROPECUARIA,1717828039.0
PR,2008,AGROPECUARIA,19172426020.0
RJ,2008,AGROPECUARIA,1570200442.0
RN,2008,AGROPECUARIA,1182269931.0
RO,2008,AGROPECUARIA,2362115086.0
RR,2008,AGROPECUARIA,147926816.0
RS,2008,AGROPECUARIA,18425389023.0
SC,2008,AGROPECUARIA,9732607380.0
SE,2008,AGROPECUARIA,1611935303.0
SP,2008,AGROPECUARIA,20948817984.0
TO,2008,AGROPECUARIA,1467589994.0
AC,2009,AGROPECUARIA,544949870.0
AL,2009,AGROPECUARIA,3625720512.0
AM,2009,AGROPECUARIA,1575238220.0
AP,2009,AGROPECUARIA,188067699.0
BA,2009,AGROPECUARIA,11499156954.0
CE,2009,AGROPECUARIA,3827174157.0
DF,2009,AGROPECUARIA,395636687.0
ES,2009,AGROPECUARIA,2158525412.0
GO,2009,AGROPECUARIA,9896009535.0
MA,2009,AGROPECUARIA,4570957196.0
MG,2009,AGROPECUARIA,15798857652.0
MS,2009,AGROPECUARIA,6471361573.0
MT,2009,AGROPECUARIA,10724964448.0
PA,2009,AGROPECUARIA,6440989868.0
PB,2009,AGROPECUARIA,1623812023.0
PE,2009,AGROPECUARIA,4074866928.0
PI,2009,AGROPECUARIA,1714296797.0
PR,2009,AGROPECUARIA,15872169591.0
RJ,2009,AGROPECUARIA,1711329620.0
RN,2009,AGROPECUARIA,1356127376.0
RO,2009,AGROPECUARIA,2294885231.0
RR,2009,AGROPECUARIA,134155590.0
RS,2009,AGROPECUARIA,16892877167.0
SC,2009,AGROPECUARIA,9307405814.0
SE,2009,AGROPECUARIA,1743329924.0
SP,2009,AGROPECUARIA,25599122533.0
TO,2009,AGROPECUARIA,1739331709.0
AC,2010,AGROPECUARIA,784374717.0
AL,2010,AGROPECUARIA,2911125856.0
AM,2010,AGROPECUARIA,2219359256.0
AP,2010,AGROPECUARIA,196013347.0
BA,2010,AGROPECUARIA,10709344109.0
CE,2010,AGROPECUARIA,3495911338.0
DF,2010,AGROPECUARIA,327804575.0
ES,2010,AGROPECUARIA,2243197189.0
GO,2010,AGROPECUARIA,10376549298.0
MA,2010,AGROPECUARIA,4537926595.0
MG,2010,AGROPECUARIA,17085912943.0
MS,2010,AGROPECUARIA,7151612325.0
MT,2010,AGROPECUARIA,8373222530.0
PA,2010,AGROPECUARIA,8076833575.0
PB,2010,AGROPECUARIA,1384254976.0
PE,2010,AGROPECUARIA,3962413039.0
PI,2010,AGROPECUARIA,1179327316.0
PR,2010,AGROPECUARIA,17801329717.0
RJ,2010,AGROPECUARIA,1534564081.0
RN,2010,AGROPECUARIA,1148621884.0
RO,2010,AGROPECUARIA,2295537138.0
RR,2010,AGROPECUARIA,148648020.0
RS,2010,AGROPECUARIA,17162698151.0
SC,2010,AGROPECUARIA,8942401730.0
SE,2010,AGROPECUARIA,1511775216.0
SP,2010,AGROPECUARIA,22631448892.0
TO,2010,AGROPECUARIA,1739792188.0
AC,2011,AGROPECUARIA,796377897.0
AL,2011,AGROPECUARIA,2797560066.0
AM,2011,AGROPECUARIA,3982128329.0
AP,2011,AGROPECUARIA,204623174.0
BA,2011,AGROPECUARIA,10973481916.0
CE,2011,AGROPECUARIA,4705759827.0
DF,2011,AGROPECUARIA,569079687.0
ES,2011,AGROPECUARIA,2756418677.0
GO,2011,AGROPECUARIA,10723913863.0
MA,2011,AGROPECUARIA,4746946660.0
MG,2011,AGROPECUARIA,21967831383.0
MS,2011,AGROPECUARIA,7824348281.0
MT,2011,AGROPECUARIA,12562005588.0
PA,2011,AGROPECUARIA,8282611144.0
PB,2011,AGROPECUARIA,1652579802.0
PE,2011,AGROPECUARIA,3827206004.0
PI,2011,AGROPECUARIA,1788056299.0
PR,2011,AGROPECUARIA,19142565609.0
RJ,2011,AGROPECUARIA,1971279868.0
RN,2011,AGROPECUARIA,1230048522.0
RO,2011,AGROPECUARIA,2318003521.0
RR,2011,AGROPECUARIA,162048280.0
RS,2011,AGROPECUARIA,17427518952.0
SC,2011,AGROPECUARIA,8252993637.0
SE,2011,AGROPECUARIA,1255066851.0
SP,2011,AGROPECUARIA,21576039004.0
TO,2011,AGROPECUARIA,1934147557.0
AC,2012,AGROPECUARIA,818687168.0
AL,2012,AGROPECUARIA,2537031577.0
AM,2012,AGROPECUARIA,3530476911.0
AP,2012,AGROPECUARIA,234146601.0
BA,2012,AGROPECUARIA,10929642743.0
CE,2012,AGROPECUARIA,3369981172.0
DF,2012,AGROPECUARIA,421956768.0
ES,2012,AGROPECUARIA,2716502013.0
GO,2012,AGROPECUARIA,12038905045.0
MA,2012,AGROPECUARIA,4651602130.0
MG,2012,AGROPECUARIA,21858450966.0
MS,2012,AGROPECUARIA,8272513553.0
MT,2012,AGROPECUARIA,14908826962.0
PA,2012,AGROPECUARIA,8704452377.0
PB,2012,AGROPECUARIA,1318015104.0
PE,2012,AGROPECUARIA,3292359263.0
PI,2012,AGROPECUARIA,1704735142.0
PR,2012,AGROPECUARIA,19012699302.0
RJ,2012,AGROPECUARIA,2024277572.0
RN,2012,AGROPECUARIA,1113475842.0
RO,2012,AGROPECUARIA,2815255534.0
RR,2012,AGROPECUARIA,182912027.0
RS,2012,AGROPECUARIA,13935519551.0
SC,2012,AGROPECUARIA,7609189345.0
SE,2012,AGROPECUARIA,1279865249.0
SP,2012,AGROPECUARIA,20363353713.0
TO,2012,AGROPECUARIA,2003088756.0
AC,2013,AGROPECUARIA,940413061.0
AL,2013,AGROPECUARIA,2780489357.0
AM,2013,AGROPECUARIA,4109751919.0
AP,2013,AGROPECUARIA,202017739.0
BA,2013,AGROPECUARIA,10423559883.0
CE,2013,AGROPECUARIA,3882069975.0
DF,2013,AGROPECUARIA,487072292.0
ES,2013,AGROPECUARIA,2530976041.0
GO,2013,AGROPECUARIA,13081509381.0
MA,2013,AGROPECUARIA,5437560911.0
MG,2013,AGROPECUARIA,19144344557.0
MS,2013,AGROPECUARIA,8630289492.0
MT,2013,AGROPECUARIA,14641183531.0
PA,2013,AGROPECUARIA,11561633424.0
PB,2013,AGROPECUARIA,1468674418.0
PE,2013,AGROPECUARIA,3377341364.0
PI,2013,AGROPECUARIA,1411979060.0
PR,2013,AGROPECUARIA,23799490315.0
RJ,2013,AGROPECUARIA,1943143675.0
RN,2013,AGROPECUARIA,1181327891.0
RO,2013,AGROPECUARIA,2648957936.0
RR,2013,AGROPECUARIA,305586489.0
RS,2013,AGROPECUARIA,22899573086.0
SC,2013,AGROPECUARIA,9639034590.0
SE,2013,AGROPECUARIA,1429932999.0
SP,2013,AGROPECUARIA,21048661048.0
TO,2013,AGROPECUARIA,2159486475.0
AC,2014,AGROPECUARIA,977345702.0
AL,2014,AGROPECUARIA,3044846175.0
AM,2014,AGROPECUARIA,3821947702.0
AP,2014,AGROPECUARIA,198673023.0
BA,2014,AGROPECUARIA,11422236044.0
CE,2014,AGROPECUARIA,4251629288.0
DF,2014,AGROPECUARIA,568063675.0
ES,2014,AGROPECUARIA,2748199542.0
GO,2014,AGROPECUARIA,11541189166.0
MA,2014,AGROPECUARIA,5447179107.0
MG,2014,AGROPECUARIA,18874387140.0
MS,2014,AGROPECUARIA,8996205326.0
MT,2014,AGROPECUARIA,14075237130.0
PA,2014,AGROPECUARIA,9911772141.0
PB,2014,AGROPECUARIA,1341099040.0
PE,2014,AGROPECUARIA,3272806613.0
PI,2014,AGROPECUARIA,1862336390.0
