setor,uf,ano,emissao_co2
INDUSTRIA,ES,2006,5716187.0
INDUSTRIA,ES,2007,8034710.6
INDUSTRIA,ES,2008,5938958.2
INDUSTRIA,ES,2009,7481569.6
INDUSTRIA,ES,2010,8184442.7
INDUSTRIA,ES,2011,8481078.5
INDUSTRIA,ES,2012,7620945.3
INDUSTRIA,ES,2013,8386841.7
INDUSTRIA,ES,2014,8314952.0
INDUSTRIA,ES,2015,9745447.9
INDUSTRIA,ES,2016,10334420.9
INDUSTRIA,ES,2017,10756218.9
INDUSTRIA,ES,2018,10720190.8
INDUSTRIA,GO,2000,286964.2
INDUSTRIA,GO,2001,281961.8
INDUSTRIA,GO,2002,269929.7
INDUSTRIA,GO,2003,241248.0
INDUSTRIA,GO,2004,264102.6
INDUSTRIA,GO,2005,292503.8
INDUSTRIA,GO,2006,282301.9
INDUSTRIA,GO,2007,307413.4
INDUSTRIA,GO,2008,382258.4
INDUSTRIA,GO,2009,422567.9
INDUSTRIA,GO,2010,476771.7
INDUSTRIA,GO,2011,501258.5
INDUSTRIA,GO,2012,575799.0
INDUSTRIA,GO,2013,594164.1
INDUSTRIA,GO,2014,582407.9
INDUSTRIA,GO,2015,477809.5
INDUSTRIA,GO,2016,385236.2
INDUSTRIA,GO,2017,535102.8
INDUSTRIA,GO,2018,617845.7
INDUSTRIA,MA,2000,971679.0
INDUSTRIA,MA,2001,840242.7
INDUSTRIA,MA,2002,978009.4
INDUSTRIA,MA,2003,855238.3
INDUSTRIA,MA,2004,485726.0
INDUSTRIA,MA,2005,912653.7
INDUSTRIA,MA,2006,1017510.6
INDUSTRIA,MA,2007,1024902.4
INDUSTRIA,MA,2008,1033065.1
INDUSTRIA,MA,2009,899179.1
INDUSTRIA,MA,2010,893052.4
INDUSTRIA,MA,2011,913192.8
INDUSTRIA,MA,2012,1015856.4
INDUSTRIA,MA,2013,926933.6
INDUSTRIA,MA,2014,580349.7
INDUSTRIA,MA,2015,350889.7
INDUSTRIA,MA,2016,266860.4
INDUSTRIA,MA,2017,192275.6
INDUSTRIA,MA,2018,139413.8
INDUSTRIA,MG,2000,16806015.9
INDUSTRIA,MG,2001,17453999.1
INDUSTRIA,MG,2002,17977748.2
INDUSTRIA,MG,2003,18140412.1
INDUSTRIA,MG,2004,19416833.1
INDUSTRIA,MG,2005,21337393.5
INDUSTRIA,MG,2006,21362974.2
INDUSTRIA,MG,2007,23118828.0
INDUSTRIA,MG,2008,24531690.7
INDUSTRIA,MG,2009,18920287.5
INDUSTRIA,MG,2010,24684324.2
INDUSTRIA,MG,2011,24457831.8
INDUSTRIA,MG,2012,24644081.8
INDUSTRIA,MG,2013,24238977.2
INDUSTRIA,MG,2014,23500456.1
INDUSTRIA,MG,2015,23138274.7
INDUSTRIA,MG,2016,23518279.3
INDUSTRIA,MG,2017,24495592.1
INDUSTRIA,MG,2018,25207248.5
INDUSTRIA,MS,2000,318758.4
INDUSTRIA,MS,2001,289856.0
INDUSTRIA,MS,2002,261618.1
INDUSTRIA,MS,2003,230434.7
INDUSTRIA,MS,2004,240864.5
INDUSTRIA,MS,2005,242084.9
INDUSTRIA,MS,2006,267592.6
INDUSTRIA,MS,2007,298218.1
INDUSTRIA,MS,2008,343496.0
INDUSTRIA,MS,2009,347019.6
INDUSTRIA,MS,2010,348641.7
INDUSTRIA,MS,2011,380350.9
INDUSTRIA,MS,2012,403047.8
INDUSTRIA,MS,2013,375346.6
INDUSTRIA,MS,2014,339578.8
INDUSTRIA,MS,2015,322010.7
INDUSTRIA,MS,2016,264443.0
INDUSTRIA,MS,2017,229393.4
INDUSTRIA,MS,2018,423401.7
INDUSTRIA,MT,2000,230335.4
INDUSTRIA,MT,2001,250975.9
INDUSTRIA,MT,2002,256496.3
INDUSTRIA,MT,2003,232671.9
INDUSTRIA,MT,2004,222052.7
INDUSTRIA,MT,2005,236153.3
INDUSTRIA,MT,2006,236602.9
INDUSTRIA,MT,2007,302610.0
INDUSTRIA,MT,2008,317943.0
INDUSTRIA,MT,2009,349013.8
INDUSTRIA,MT,2010,359019.2
INDUSTRIA,MT,2011,423837.1
INDUSTRIA,MT,2012,404391.7
INDUSTRIA,MT,2013,555385.4
INDUSTRIA,MT,2014,618351.3
INDUSTRIA,MT,2015,489487.5
INDUSTRIA,MT,2016,374945.6
INDUSTRIA,MT,2017,372356.5
INDUSTRIA,MT,2018,222110.1
INDUSTRIA,PA,2000,1053863.4
INDUSTRIA,PA,2001,964804.2
INDUSTRIA,PA,2002,1174096.5
INDUSTRIA,PA,2003,1199072.1
INDUSTRIA,PA,2004,1172383.2
INDUSTRIA,PA,2005,1209445.0
INDUSTRIA,PA,2006,1248892.2
INDUSTRIA,PA,2007,1268754.1
INDUSTRIA,PA,2008,1391345.4
INDUSTRIA,PA,2009,1245143.5
INDUSTRIA,PA,2010,1323219.2
INDUSTRIA,PA,2011,1353724.5
INDUSTRIA,PA,2012,1363841.5
INDUSTRIA,PA,2013,1399668.8
INDUSTRIA,PA,2014,1339883.9
INDUSTRIA,PA,2015,1212907.5
INDUSTRIA,PA,2016,1308929.7
INDUSTRIA,PA,2017,1254757.9
INDUSTRIA,PA,2018,918068.2
INDUSTRIA,PB,2000,659620.2
INDUSTRIA,PB,2001,651088.0
INDUSTRIA,PB,2002,582972.0
INDUSTRIA,PB,2003,508597.0
INDUSTRIA,PB,2004,544803.8
INDUSTRIA,PB,2005,596500.2
INDUSTRIA,PB,2006,667426.7
INDUSTRIA,PB,2007,709046.0
INDUSTRIA,PB,2008,753252.5
INDUSTRIA,PB,2009,678168.1
INDUSTRIA,PB,2010,778535.0
INDUSTRIA,PB,2011,729201.4
INDUSTRIA,PB,2012,886564.9
INDUSTRIA,PB,2013,848394.3
INDUSTRIA,PB,2014,840512.8
INDUSTRIA,PB,2015,749447.6
INDUSTRIA,PB,2016,930226.4
INDUSTRIA,PB,2017,949585.5
INDUSTRIA,PB,2018,1024162.6
INDUSTRIA,PE,2000,200799.0
INDUSTRIA,PE,2001,194509.8
INDUSTRIA,PE,2002,200318.9
INDUSTRIA,PE,2003,148030.1
INDUSTRIA,PE,2004,150863.1
INDUSTRIA,PE,2005,189812.4
INDUSTRIA,PE,2006,201591.6
INDUSTRIA,PE,2007,250142.9
INDUSTRIA,PE,2008,283786.9
INDUSTRIA,PE,2009,301939.3
INDUSTRIA,PE,2010,305364.3
INDUSTRIA,PE,2011,388547.3
INDUSTRIA,PE,2012,452645.0
INDUSTRIA,PE,2013,434280.0
INDUSTRIA,PE,2014,446609.0
INDUSTRIA,PE,2015,340821.8
INDUSTRIA,PE,2016,218324.2
INDUSTRIA,PE,2017,157352.7
INDUSTRIA,PE,2018,95096.8
