USINA CAETE S A,"2.726 processos no TRT19, TRT15, TJAL, TRT03 e TRT3, 879 processos no TRT19, TJAL, STJ, TRF5 e TRT2, 344 processos no TRT15, TRT22, TRT3, TRT03 e TRT16, 142 processos no TRT3, TRT03, TJMG, TRT19 e TRT22, 124 processos no TRT19, TJAL e TST, 122 processos no TRT19, TJAL, STJ, TRF5 e TST"
EMPRESA AMAZONENSE DE TRANSMISSAO DE ENERGIA S/A,"41 processos no TRF3, TRT16, TJMA, STJ e TJPA, 9 processos no TRF3, TJMA, STJ e JFDF, 4 processos no TJPA, TRF1 e JFDF, 3 processos no TJPA e TRF1"
TERMINAL XXXIX DE SANTOS S.A,"76 processos no TJSP, STJ, TRT2, TRF3 e TRT02, 12 processos no TJSP e STJ, 2 processos no TRT2"
EMPRESA PARAENSE DE TRANSMISSAO DE ENERGIA S/A,"29 processos no TRF3, TRT8, TJPA, STJ e TJSP, 6 processos no TJPA, 5 processos no TRF3, 1 processo no TJSP, 1 processo no TRF1, 1 processo no TRF3"
ENERGETICA CAMPOS DE CIMA DA SERRA LTDA,"8 processos no TRT4, TRF04, TRF4, TRT04 e TRF01"
BIOSEV S.A.,"10.624 processos no TRT15, TJSP, TST, TRT3 e TRT03, 7.777 processos no TRT24, TRT15, TRT3, TRT6 e TST, 49 processos no TJSP, TJMS, TRF1, TRT24 e STJ, 45 processos no TJSP, TRT22, STJ, TRT15 e TRT16, 30 processos no TRT15 e TST, 10 processos no TJMS e TJSP"
ENERGISA BORBOREMA - DISTRIBUIDORA DE ENERGIA S.A,"1.427 processos no TJPB, TRT13, STJ, TST e TJRJ, 328 processos no TJPB, 143 processos no TJPB e STJ, 7 processos no TRT13, 6 processos no TRF1, JFMG e TJPB, 5 processos no TRF1, TRF01 e STJ"
COMPANHIA HIDROELETRICA SAO PATRICIO - CHESP,"3 processos no TJGO, 2 processos no TJGO, 1 processo no TJMG"
EMPRESA DE ELETRICIDADE VALE PARANAPANEMA S/A,"272 processos no TJSP, TRF3, TRT15, STJ e TJES, 76 processos no TJSP, TRF1, STJ e JFDF, 20 processos no TJSP, STJ, TRF03, TJMG e TRF1, 13 processos no TRF3, TJSP, JFSP e TRT15, 4 processos no TJSP e JFRR, 3 processos no TRF3 e JFSP"
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,"39.482 processos no TJMT, TRT23, STJ, TJMS e TJSP, 19.936 processos no TJMS, TRT24, STJ, TJSP e TST, 4.220 processos no TJMT e STJ, 391 processos no TRT23, TRF1, JFMT, JFDF e TJSP, 356 processos no TJMT, 281 processos no TJMT"
USINA TERMELETRICA NORTE FLUMINENSE S/A,"113 processos no TRT1, TRT01, TJRJ, TRT3 e TRF2, 2 processos no TRF02 e JFRJ, 1 processo no TRF1 e TJRJ, 1 processo no TST, 1 processo no TRT1, 1 processo no TRF2"
