cnpj,uf,produto,fonte_de_recurso_desembolsos,setor_bndes,natureza_do_cliente,tipo_de_garantia,valor_desembolsado_ajustado,processos,prazo_amortizacao_meses,cluster
00.001.180/0001-26,RJ,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PÚBLICA INDIRETA,PESSOAL,1414420135.0,6001.0,8.0,0
00.003.516/0001-90,SP,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,REAL / PESSOAL,18902339.0,198.0,58.5,2
00.058.722/0001-05,SC,BNDES FINEM,RECURSOS LIVRES,AGROPECUARIA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,42528663.0,1.0,72.0,1
00.073.957/0001-68,RS,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PÚBLICA INDIRETA,DEFINIDA PELO AGENTE FINANCEIRO,1414420135.0,3379.0,149.12121212121212,0
00.074.569/0001-00,RJ,BNDES FINEM,RECURSOS VINCULADOS,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,11596383.0,8045.0,48.0,2
00.080.671/0001-00,GO,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,REAL / PESSOAL,287288388.0,1030.0,69.42105263157895,0
00.082.024/0001-37,DF,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PÚBLICA INDIRETA,"OUTRA, DE NATUREZA ESPECÍFICA OU MISTA",91495728.0,4731.0,90.0,0
00.102.912/0001-74,PR,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,7856220.0,1.0,12.0,2
00.103.582/0001-31,SP,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,111323143.0,58.0,24.0,2
00.145.602/0001-37,SC,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,REAL / PESSOAL,18926917.0,51.0,36.0,2
00.185.041/0001-08,MT,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,81187623.0,68.0,89.0,0
00.190.373/0001-72,SP,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,REAL,185710214.0,1607.0,68.58333333333333,0
00.198.057/0001-47,PR,BNDES FINEM,RECURSOS LIVRES,AGROPECUARIA,PRIVADA             ,REAL / PESSOAL,53026029.0,201.0,24.0,2
00.233.695/0001-51,SP,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,7856220.0,296.0,54.0,2
00.280.273/0001-37,AM,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,100935641.0,10624.0,12.0,0
00.286.550/0001-19,RJ,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,PESSOAL,30569722.0,12.0,48.0,2
00.331.788/0001-19,SP,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,107324791.0,8.0,55.2,2
00.350.763/0001-62,GO,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,REAL / PESSOAL,7856220.0,390.0,60.0,2
00.355.092/0001-22,SC,BNDES FINEM,RECURSOS VINCULADOS,INDUSTRIA,PRIVADA             ,REAL / PESSOAL,15233678.0,128.0,47.0,2
00.357.038/0001-16,RO,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,ADMINISTRAÇÃO PÚBLICA DIRETA - GOVERNO FEDERAL,REAL,1414420135.0,147.0,144.04166666666666,0
00.372.496/0001-24,SP,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,125143316.0,1.0,75.0,1
00.394.585/0001-71,RO,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,ADMINISTRAÇÃO PÚBLICA DIRETA - GOVERNO ESTADUAL,REAL,28266392.0,10624.0,84.0,2
00.394.601/0001-26,DF,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,ADMINISTRAÇÃO PÚBLICA DIRETA - GOVERNO ESTADUAL,"OUTRA, DE NATUREZA ESPECÍFICA OU MISTA",556631844.0,1.0,195.0,1
00.580.504/0001-28,IE,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,REAL / PESSOAL,22970857.0,49.0,12.0,2
00.606.549/0001-24,RS,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,114080735.0,265.0,60.0,0
00.634.267/0001-30,MS,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,REAL / PESSOAL,7856220.0,143.0,54.0,2
00.668.697/0001-73,RN,BNDES FINEM,RECURSOS LIVRES,AGROPECUARIA,PRIVADA             ,REAL / PESSOAL,18938173.0,17.0,66.0,2
00.736.859/0001-63,SP,BNDES FINEM,RECURSOS VINCULADOS,INDUSTRIA,PRIVADA             ,PESSOAL,40167978.0,98.0,12.0,2
00.831.373/0001-04,SP,BNDES FINEM,RECURSOS LIVRES,AGROPECUARIA,PRIVADA             ,REAL / PESSOAL,313765727.0,3694.0,70.66666666666667,0
00.843.966/0001-90,RS,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,7856220.0,176.0,60.0,2
00.861.626/0001-92,SP,BNDES PROJECT FINANCE,RECURSOS VINCULADOS,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,56619468.0,5081.0,42.0,0
00.880.446/0001-58,MG,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,185261835.0,1188.0,50.8,0
00.904.448/0001-30,PR,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,47882390.0,1657.0,60.0,2
00.910.456/0001-99,SP,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,40841838.0,79.0,84.0,2
00.912.882/0001-61,RS,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,REAL / PESSOAL,49544508.0,6.0,54.0,2
00.913.443/0001-73,PR,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,1031937815.0,10624.0,55.92,0
00.938.574/0001-05,RJ,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,PESSOAL,92379386.0,702.0,56.0,0
00.940.956/0001-73,RS,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,14995128.0,1532.0,36.0,2
00.954.394/0001-17,CE,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,507597620.0,1814.0,43.142857142857146,0
00.974.731/0001-38,PR,BNDES FINEM,RECURSOS LIVRES,AGROPECUARIA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,37009372.0,1150.0,76.28571428571429,2
00.980.360/0001-05,SP,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,REAL / PESSOAL,19533257.0,217.0,60.0,2
01.002.612/0001-86,MG,BNDES LIMITE DE CRÉDITO,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,18201841.0,511.0,42.27272727272727,2
01.009.686/0001-44,IE,BNDES LIMITE DE CRÉDITO,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,"PESSOAL / OUTRA, DE NATUREZA ESPECÍFICA OU MISTA",443264493.0,10624.0,60.0,0
01.105.558/0001-02,MG,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,87262654.0,118.0,117.23076923076923,0
01.143.390/0001-11,RJ,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL,1414420135.0,576.0,3.7666666666666666,0
01.166.372/0001-55,AM,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,42092467.0,10624.0,48.0,2
01.178.298/0001-97,IE,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,79153522.0,1125.0,52.8,2
01.202.799/0001-61,RJ,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,"OUTRA, DE NATUREZA ESPECÍFICA OU MISTA",28785234.0,163.0,108.0,2
01.243.305/0001-97,PR,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,13564783.0,11.0,12.0,2
01.258.944/0001-26,PR,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL,1414420135.0,8893.0,86.0,0
01.287.588/0001-79,RS,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,REAL / PESSOAL,47469797.0,620.0,72.0,2
01.306.088/0001-37,SP,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,23969379.0,346.0,45.0,2
01.355.296/0001-26,MT,BNDES FINEM,RECURSOS LIVRES,AGROPECUARIA,PRIVADA             ,REAL / PESSOAL,20464963.0,176.0,60.0,2
01.356.809/0001-13,PE,BNDES FINEM,RECURSOS LIVRES,AGROPECUARIA,PRIVADA             ,REAL / PESSOAL,7856220.0,1.0,24.0,2
01.377.555/0001-10,GO,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL,7856220.0,3.0,27.0,2
01.417.222/0001-77,IE,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL,1414420135.0,8041.0,89.125,0
01.454.667/0001-27,MG,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,7856220.0,8.0,60.0,2
01.503.284/0001-00,SP,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,16157562.0,2.0,12.0,2
01.543.032/0001-04,GO,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,ADMINISTRAÇÃO PÚBLICA DIRETA - GOVERNO ESTADUAL,REAL,25226547.0,10624.0,45.0,2
01.551.272/0001-42,PE,BNDES FINEM,RECURSOS LIVRES,AGROPECUARIA,PRIVADA             ,REAL / PESSOAL,28668316.0,1093.0,54.0,2
01.554.846/0001-36,RS,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,7856220.0,90.0,27.0,2
01.597.168/0001-99,SP,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,REAL / PESSOAL,581199916.0,1056.0,57.0,0
01.606.464/0001-09,SP,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,SEM REGISTRO DE GARANTIA,11204679.0,170.0,48.0,2
01.616.929/0001-02,GO,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PÚBLICA INDIRETA,"COMPROMISSO DE DESEMPENHO FINANCEIRO ('COVENANTS') / OUTRA, DE NATUREZA ESPECÍFICA OU MISTA",275265537.0,4757.0,92.5,0
01.637.895/0001-32,BA,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,1414420135.0,9389.0,64.83116883116882,0
01.640.625/0001-80,RS,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,PESSOAL,23924447.0,758.0,84.0,2
01.642.931/0001-56,SP,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,7856220.0,376.0,12.0,2
01.655.350/0001-59,PR,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,33866378.0,1.0,60.0,2
01.672.223/0001-68,GO,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL,72170788.0,63.0,57.5,2
01.682.147/0001-71,PR,BNDES FINEM,RECURSOS LIVRES,AGROPECUARIA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,50932601.0,1.0,82.0,1
01.691.945/0001-60,PR,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,PESSOAL,36811337.0,175.0,108.85714285714286,2
01.695.370/0001-53,RJ,BNDES FINEM,RECURSOS VINCULADOS,INFRAESTRUTURA,PRIVADA             ,PESSOAL,118750863.0,1749.0,70.71428571428571,0
01.704.331/0001-75,SP,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,PESSOAL,7856220.0,582.0,38.0,2
01.722.256/0001-75,SP,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,7856220.0,1.0,72.0,2
01.735.959/0001-38,SC,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,REAL / PESSOAL,8340947.0,74.0,60.0,2
01.838.723/0001-27,IE,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,REAL,1414420135.0,10624.0,60.96774193548387,0
01.844.555/0001-82,MG,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,574094828.0,2523.0,55.41509433962264,0
01.865.099/0001-57,SP,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,74578721.0,1.0,96.0,1
01.917.818/0001-36,RJ,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,67139301.0,1049.0,70.375,0
01.918.032/0001-33,SP,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,"PESSOAL / OUTRA, DE NATUREZA ESPECÍFICA OU MISTA",30811351.0,2.0,48.0,2
01.930.685/0001-38,SP,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,REAL / PESSOAL,11877435.0,318.0,54.0,2
01.933.349/0001-49,BA,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,REAL / PESSOAL,55602386.0,1057.0,54.0,2
01.942.223/0001-30,BA,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,41911261.0,1.0,78.0,1
01.974.675/0001-02,SP,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,REAL / PESSOAL,7856220.0,69.0,74.0,2
01.983.856/0001-97,RS,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,22746310.0,31.0,67.0,2
02.003.402/0001-75,MT,BNDES FINEM,RECURSOS VINCULADOS,INDUSTRIA,PRIVADA             ,REAL / PESSOAL,30756425.0,10624.0,111.0,2
02.012.862/0001-60,SP,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,114283891.0,10624.0,60.0,0
02.016.439/0001-38,RS,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL,1205029586.0,10624.0,75.90833333333333,0
02.016.440/0001-62,RS,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL,804990567.0,10624.0,49.8,0
02.036.483/0001-00,BA,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,387231279.0,1829.0,48.857142857142854,0
02.045.487/0001-54,SC,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,7856220.0,582.0,72.0,2
02.077.546/0001-76,ES,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,15997452.0,257.0,72.0,2
02.077.618/0001-85,GO,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,28643370.0,1.0,54.0,2
02.084.220/0001-76,SP,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,63336856.0,87.0,48.0,2
02.126.673/0001-18,RJ,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,PESSOAL,46548442.0,284.0,54.0,2
02.147.467/0001-94,MG,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,44064918.0,823.0,53.2,2
02.150.327/0001-75,RJ,BNDES FINEM,RECURSOS VINCULADOS,INFRAESTRUTURA,PRIVADA             ,PESSOAL,30041788.0,1426.0,124.0,2
02.150.336/0001-66,RJ,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,60181763.0,3554.0,118.5,0
02.179.938/0001-46,CE,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,REAL / PESSOAL,14402585.0,41.0,60.0,2
02.191.601/0001-54,PR,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,COMPROMISSO DE DESEMPENHO FINANCEIRO ('COVENANTS'),469315781.0,1280.0,50.8235294117647,0
02.202.676/0001-93,RS,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,7856220.0,7.0,12.0,2
02.221.358/0001-70,PR,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL,68272290.0,326.0,78.0,0
02.228.721/0001-89,PR,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,PESSOAL,28315316.0,364.0,60.0,2
02.234.234/0001-29,SP,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,REAL,9263728.0,647.0,58.0,2
02.235.994/0001-50,SP,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,48757855.0,259.0,48.0,2
02.260.955/0001-03,MG,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,262119646.0,11.0,144.0,1
02.279.324/0001-36,SC,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,REAL / PESSOAL,75821055.0,1068.0,49.666666666666664,0
02.281.836/0001-37,IE,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,PESSOAL,246830062.0,3147.0,172.5,0
02.286.658/0001-37,SP,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,27218502.0,174.0,78.0,2
02.290.277/0001-21,SC,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,174396705.0,1646.0,58.2,0
02.290.787/0001-07,RJ,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PÚBLICA INDIRETA,REAL,419290502.0,1.0,52.0,1
02.293.655/0001-20,PE,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,REAL / PESSOAL,11030655.0,100.0,72.0,2
02.302.100/0001-06,SP,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL,1260254690.0,9055.0,63.27272727272727,0
02.302.101/0001-42,SP,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PÚBLICA INDIRETA,REAL,64650245.0,1026.0,57.5,0
02.328.280/0001-97,SP,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL,1414420135.0,10624.0,61.29032258064516,0
02.329.713/0001-29,RS,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,42275957.0,922.0,12.0,2
02.340.752/0001-27,SP,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,REAL / PESSOAL,32785804.0,81.0,50.4,2
02.351.705/0001-89,RS,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,18249269.0,198.0,90.0,2
02.359.572/0001-97,IE,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,1414420135.0,2726.0,88.0,0
02.369.513/0001-08,RJ,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,24215275.0,55.0,98.0,2
02.373.517/0001-51,RJ,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,PESSOAL,128814630.0,590.0,96.0,0
02.382.073/0001-10,RJ,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,"REAL / PESSOAL / OUTRA, DE NATUREZA ESPECÍFICA OU MISTA",313548836.0,2826.0,132.0,0
02.387.241/0001-60,IE,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,PESSOAL,1414420135.0,8893.0,89.91666666666667,0
02.417.464/0001-23,SP,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,PESSOAL,192672508.0,1353.0,37.77777777777778,0
02.421.421/0001-11,IE,BNDES LIMITE DE CRÉDITO,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,"PESSOAL / OUTRA, DE NATUREZA ESPECÍFICA OU MISTA",114725920.0,1.0,72.0,1
02.428.624/0001-30,SP,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,156170200.0,10624.0,168.0,0
02.433.691/0001-42,RS,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,7856220.0,501.0,64.0,2
02.437.460/0001-07,SP,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,PESSOAL,12250829.0,126.0,72.0,2
02.451.848/0001-62,SP,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,PESSOAL,293189157.0,3700.0,72.0,0
02.474.103/0001-19,SC,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL,621788284.0,1227.0,90.0,0
02.476.026/0001-36,SP,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,904303162.0,902.0,120.0,0
02.502.844/0001-66,SP,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,1414420135.0,4302.0,103.8,0
02.509.186/0001-34,SP,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,51210485.0,2381.0,78.0,0
02.521.635/0001-60,MT,BNDES FINEM,RECURSOS LIVRES,AGROPECUARIA,PRIVADA             ,REAL / PESSOAL,186556982.0,1.0,60.0,1
02.522.287/0001-45,PR,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,REAL / PESSOAL,48016860.0,814.0,72.0,2
02.531.377/0001-00,SP,BNDES FINEM,RECURSOS LIVRES,AGROPECUARIA,PRIVADA             ,PESSOAL,77559296.0,1.0,84.0,1
02.556.227/0001-43,PR,BNDES FINEM,RECURSOS LIVRES,AGROPECUARIA,PRIVADA             ,REAL / PESSOAL,7856220.0,132.0,54.0,2
02.558.157/0001-62,PR,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,1414420135.0,10624.0,63.625,0
02.599.378/0001-89,RJ,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,REAL / PESSOAL,13139597.0,65.0,78.0,2
02.619.221/0001-78,RJ,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,PESSOAL,13048261.0,1.0,75.0,2
02.628.150/0001-70,ES,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,"REAL / OUTRA, DE NATUREZA ESPECÍFICA OU MISTA",114196914.0,40.0,123.2,1
02.634.416/0001-97,SP,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,46788980.0,107.0,15.0,2
02.639.850/0001-60,ES,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,PESSOAL,22518090.0,9.0,88.66666666666667,2
02.663.810/0001-53,SP,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,21405530.0,285.0,48.0,2
02.709.449/0001-59,RJ,BNDES FINEM,RECURSOS VINCULADOS,INFRAESTRUTURA,PÚBLICA INDIRETA,"OUTRA, DE NATUREZA ESPECÍFICA OU MISTA",1414420135.0,1.0,239.2158273381295,1
02.725.300/0001-63,PR,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,28608276.0,135.0,72.0,2
02.734.023/0001-55,MT,BNDES FINEM,RECURSOS VINCULADOS,INDUSTRIA,PRIVADA             ,REAL / PESSOAL,38888188.0,555.0,82.0,2
02.735.385/0001-60,RJ,BNDES EMPRÉSTIMO PONTE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,PESSOAL,1138072255.0,10481.0,185.66666666666666,0
02.773.950/0001-84,GO,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,98628206.0,1395.0,78.0,0
02.781.837/0001-40,SP,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,11878272.0,6.0,52.0,2
02.782.918/0001-65,PR,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,7856220.0,241.0,12.0,2
02.793.670/0001-38,BA,BNDES FINEM,RECURSOS LIVRES,AGROPECUARIA,PRIVADA             ,REAL / PESSOAL,7856220.0,7.0,72.0,2
02.805.610/0001-98,SP,BNDES PROJECT FINANCE,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,590008840.0,442.0,140.0,0
02.808.298/0001-96,RS,BNDES FINEM,RECURSOS VINCULADOS,INFRAESTRUTURA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,13972377.0,227.0,84.0,2
02.832.860/0001-17,RS,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,176824088.0,215.0,144.0,0
02.859.452/0001-59,GO,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,REAL / PESSOAL,28349122.0,909.0,72.0,2
02.863.830/0001-78,SP,BNDES FINEM,RECURSOS LIVRES,INFRAESTRUTURA,PRIVADA             ,PESSOAL,57984180.0,1068.0,75.6,0
02.864.417/0001-28,MA,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,DEFINIDA PELO AGENTE FINANCEIRO,389801997.0,4116.0,65.33333333333333,0
02.865.246/0001-51,IE,BNDES FINEM,RECURSOS LIVRES,INDUSTRIA,PRIVADA             ,PESSOAL,14942269.0,858.0,60.0,2
